Observation ,Animal   ,Environment ,HasShell ,BearsYoungAs ,Class   ,WarmBlooded ,BodyCovering ,Probability
          1 ,Monkey   ,Air         ,True     ,Live         ,Bird    ,True        ,Fur          ,        0.0
          2 ,Monkey   ,Air         ,True     ,Live         ,Bird    ,True        ,Feathers     ,        0.0
          3 ,Monkey   ,Air         ,True     ,Live         ,Bird    ,True        ,Scales       ,        0.0
          4 ,Monkey   ,Air         ,True     ,Live         ,Bird    ,False       ,Fur          ,        0.0
          5 ,Monkey   ,Air         ,True     ,Live         ,Bird    ,False       ,Feathers     ,        0.0
          6 ,Monkey   ,Air         ,True     ,Live         ,Bird    ,False       ,Scales       ,        0.0
          7 ,Monkey   ,Air         ,True     ,Live         ,Mammal  ,True        ,Fur          ,        0.0
          8 ,Monkey   ,Air         ,True     ,Live         ,Mammal  ,True        ,Feathers     ,        0.0
          9 ,Monkey   ,Air         ,True     ,Live         ,Mammal  ,True        ,Scales       ,        0.0
         10 ,Monkey   ,Air         ,True     ,Live         ,Mammal  ,False       ,Fur          ,        0.0
         11 ,Monkey   ,Air         ,True     ,Live         ,Mammal  ,False       ,Feathers     ,        0.0
         12 ,Monkey   ,Air         ,True     ,Live         ,Mammal  ,False       ,Scales       ,        0.0
         13 ,Monkey   ,Air         ,True     ,Live         ,Reptile ,True        ,Fur          ,        0.0
         14 ,Monkey   ,Air         ,True     ,Live         ,Reptile ,True        ,Feathers     ,        0.0
         15 ,Monkey   ,Air         ,True     ,Live         ,Reptile ,True        ,Scales       ,        0.0
         16 ,Monkey   ,Air         ,True     ,Live         ,Reptile ,False       ,Fur          ,        0.0
         17 ,Monkey   ,Air         ,True     ,Live         ,Reptile ,False       ,Feathers     ,        0.0
         18 ,Monkey   ,Air         ,True     ,Live         ,Reptile ,False       ,Scales       ,        0.0
         19 ,Monkey   ,Air         ,True     ,Eggs         ,Bird    ,True        ,Fur          ,        0.0
         20 ,Monkey   ,Air         ,True     ,Eggs         ,Bird    ,True        ,Feathers     ,        0.0
         21 ,Monkey   ,Air         ,True     ,Eggs         ,Bird    ,True        ,Scales       ,        0.0
         22 ,Monkey   ,Air         ,True     ,Eggs         ,Bird    ,False       ,Fur          ,        0.0
         23 ,Monkey   ,Air         ,True     ,Eggs         ,Bird    ,False       ,Feathers     ,        0.0
         24 ,Monkey   ,Air         ,True     ,Eggs         ,Bird    ,False       ,Scales       ,        0.0
         25 ,Monkey   ,Air         ,True     ,Eggs         ,Mammal  ,True        ,Fur          ,        0.0
         26 ,Monkey   ,Air         ,True     ,Eggs         ,Mammal  ,True        ,Feathers     ,        0.0
         27 ,Monkey   ,Air         ,True     ,Eggs         ,Mammal  ,True        ,Scales       ,        0.0
         28 ,Monkey   ,Air         ,True     ,Eggs         ,Mammal  ,False       ,Fur          ,        0.0
         29 ,Monkey   ,Air         ,True     ,Eggs         ,Mammal  ,False       ,Feathers     ,        0.0
         30 ,Monkey   ,Air         ,True     ,Eggs         ,Mammal  ,False       ,Scales       ,        0.0
         31 ,Monkey   ,Air         ,True     ,Eggs         ,Reptile ,True        ,Fur          ,        0.0
         32 ,Monkey   ,Air         ,True     ,Eggs         ,Reptile ,True        ,Feathers     ,        0.0
         33 ,Monkey   ,Air         ,True     ,Eggs         ,Reptile ,True        ,Scales       ,        0.0
         34 ,Monkey   ,Air         ,True     ,Eggs         ,Reptile ,False       ,Fur          ,        0.0
         35 ,Monkey   ,Air         ,True     ,Eggs         ,Reptile ,False       ,Feathers     ,        0.0
         36 ,Monkey   ,Air         ,True     ,Eggs         ,Reptile ,False       ,Scales       ,        0.0
         37 ,Monkey   ,Air         ,False    ,Live         ,Bird    ,True        ,Fur          ,        0.0
         38 ,Monkey   ,Air         ,False    ,Live         ,Bird    ,True        ,Feathers     ,        0.0
         39 ,Monkey   ,Air         ,False    ,Live         ,Bird    ,True        ,Scales       ,        0.0
         40 ,Monkey   ,Air         ,False    ,Live         ,Bird    ,False       ,Fur          ,        0.0
         41 ,Monkey   ,Air         ,False    ,Live         ,Bird    ,False       ,Feathers     ,        0.0
         42 ,Monkey   ,Air         ,False    ,Live         ,Bird    ,False       ,Scales       ,        0.0
         43 ,Monkey   ,Air         ,False    ,Live         ,Mammal  ,True        ,Fur          ,        0.0
         44 ,Monkey   ,Air         ,False    ,Live         ,Mammal  ,True        ,Feathers     ,        0.0
         45 ,Monkey   ,Air         ,False    ,Live         ,Mammal  ,True        ,Scales       ,        0.0
         46 ,Monkey   ,Air         ,False    ,Live         ,Mammal  ,False       ,Fur          ,        0.0
         47 ,Monkey   ,Air         ,False    ,Live         ,Mammal  ,False       ,Feathers     ,        0.0
         48 ,Monkey   ,Air         ,False    ,Live         ,Mammal  ,False       ,Scales       ,        0.0
         49 ,Monkey   ,Air         ,False    ,Live         ,Reptile ,True        ,Fur          ,        0.0
         50 ,Monkey   ,Air         ,False    ,Live         ,Reptile ,True        ,Feathers     ,        0.0
         51 ,Monkey   ,Air         ,False    ,Live         ,Reptile ,True        ,Scales       ,        0.0
         52 ,Monkey   ,Air         ,False    ,Live         ,Reptile ,False       ,Fur          ,        0.0
         53 ,Monkey   ,Air         ,False    ,Live         ,Reptile ,False       ,Feathers     ,        0.0
         54 ,Monkey   ,Air         ,False    ,Live         ,Reptile ,False       ,Scales       ,        0.0
         55 ,Monkey   ,Air         ,False    ,Eggs         ,Bird    ,True        ,Fur          ,        0.0
         56 ,Monkey   ,Air         ,False    ,Eggs         ,Bird    ,True        ,Feathers     ,        0.0
         57 ,Monkey   ,Air         ,False    ,Eggs         ,Bird    ,True        ,Scales       ,        0.0
         58 ,Monkey   ,Air         ,False    ,Eggs         ,Bird    ,False       ,Fur          ,        0.0
         59 ,Monkey   ,Air         ,False    ,Eggs         ,Bird    ,False       ,Feathers     ,        0.0
         60 ,Monkey   ,Air         ,False    ,Eggs         ,Bird    ,False       ,Scales       ,        0.0
         61 ,Monkey   ,Air         ,False    ,Eggs         ,Mammal  ,True        ,Fur          ,        0.0
         62 ,Monkey   ,Air         ,False    ,Eggs         ,Mammal  ,True        ,Feathers     ,        0.0
         63 ,Monkey   ,Air         ,False    ,Eggs         ,Mammal  ,True        ,Scales       ,        0.0
         64 ,Monkey   ,Air         ,False    ,Eggs         ,Mammal  ,False       ,Fur          ,        0.0
         65 ,Monkey   ,Air         ,False    ,Eggs         ,Mammal  ,False       ,Feathers     ,        0.0
         66 ,Monkey   ,Air         ,False    ,Eggs         ,Mammal  ,False       ,Scales       ,        0.0
         67 ,Monkey   ,Air         ,False    ,Eggs         ,Reptile ,True        ,Fur          ,        0.0
         68 ,Monkey   ,Air         ,False    ,Eggs         ,Reptile ,True        ,Feathers     ,        0.0
         69 ,Monkey   ,Air         ,False    ,Eggs         ,Reptile ,True        ,Scales       ,        0.0
         70 ,Monkey   ,Air         ,False    ,Eggs         ,Reptile ,False       ,Fur          ,        0.0
         71 ,Monkey   ,Air         ,False    ,Eggs         ,Reptile ,False       ,Feathers     ,        0.0
         72 ,Monkey   ,Air         ,False    ,Eggs         ,Reptile ,False       ,Scales       ,        0.0
         73 ,Monkey   ,Land        ,True     ,Live         ,Bird    ,True        ,Fur          ,        0.0
         74 ,Monkey   ,Land        ,True     ,Live         ,Bird    ,True        ,Feathers     ,        0.0
         75 ,Monkey   ,Land        ,True     ,Live         ,Bird    ,True        ,Scales       ,        0.0
         76 ,Monkey   ,Land        ,True     ,Live         ,Bird    ,False       ,Fur          ,        0.0
         77 ,Monkey   ,Land        ,True     ,Live         ,Bird    ,False       ,Feathers     ,        0.0
         78 ,Monkey   ,Land        ,True     ,Live         ,Bird    ,False       ,Scales       ,        0.0
         79 ,Monkey   ,Land        ,True     ,Live         ,Mammal  ,True        ,Fur          ,        0.0
         80 ,Monkey   ,Land        ,True     ,Live         ,Mammal  ,True        ,Feathers     ,        0.0
         81 ,Monkey   ,Land        ,True     ,Live         ,Mammal  ,True        ,Scales       ,        0.0
         82 ,Monkey   ,Land        ,True     ,Live         ,Mammal  ,False       ,Fur          ,        0.0
