Observation ,VisitAsia ,Smoking   ,Tuberculosis ,LungCancer ,Tb_or_Ca ,XRay     ,Bronchitis ,Dyspnea ,Probability
          1 ,Visit     ,Smoking   ,Present      ,Present    ,True     ,Abnormal ,Present    ,True    ,1.3229999999999999e-05
          2 ,Visit     ,Smoking   ,Present      ,Present    ,True     ,Abnormal ,Present    ,False   ,1.47e-06
          3 ,Visit     ,Smoking   ,Present      ,Present    ,True     ,Abnormal ,Absent     ,True    ,6.86e-06
          4 ,Visit     ,Smoking   ,Present      ,Present    ,True     ,Abnormal ,Absent     ,False   ,2.9400000000000002e-06
          5 ,Visit     ,Smoking   ,Present      ,Present    ,True     ,Normal   ,Present    ,True    ,2.7000000000000006e-07
          6 ,Visit     ,Smoking   ,Present      ,Present    ,True     ,Normal   ,Present    ,False   ,3.0000000000000004e-08
          7 ,Visit     ,Smoking   ,Present      ,Present    ,True     ,Normal   ,Absent     ,True    ,1.4e-07
          8 ,Visit     ,Smoking   ,Present      ,Present    ,True     ,Normal   ,Absent     ,False   ,6.000000000000001e-08
          9 ,Visit     ,Smoking   ,Present      ,Present    ,False    ,Abnormal ,Present    ,True    ,0.0
         10 ,Visit     ,Smoking   ,Present      ,Present    ,False    ,Abnormal ,Present    ,False   ,0.0
         11 ,Visit     ,Smoking   ,Present      ,Present    ,False    ,Abnormal ,Absent     ,True    ,0.0
         12 ,Visit     ,Smoking   ,Present      ,Present    ,False    ,Abnormal ,Absent     ,False   ,0.0
         13 ,Visit     ,Smoking   ,Present      ,Present    ,False    ,Normal   ,Present    ,True    ,0.0
         14 ,Visit     ,Smoking   ,Present      ,Present    ,False    ,Normal   ,Present    ,False   ,0.0
         15 ,Visit     ,Smoking   ,Present      ,Present    ,False    ,Normal   ,Absent     ,True    ,0.0
         16 ,Visit     ,Smoking   ,Present      ,Present    ,False    ,Normal   ,Absent     ,False   ,0.0
         17 ,Visit     ,Smoking   ,Present      ,Absent     ,True     ,Abnormal ,Present    ,True    ,0.00011907000000000002
         18 ,Visit     ,Smoking   ,Present      ,Absent     ,True     ,Abnormal ,Present    ,False   ,1.3230000000000002e-05
         19 ,Visit     ,Smoking   ,Present      ,Absent     ,True     ,Abnormal ,Absent     ,True    ,6.174e-05
         20 ,Visit     ,Smoking   ,Present      ,Absent     ,True     ,Abnormal ,Absent     ,False   ,2.6460000000000004e-05
         21 ,Visit     ,Smoking   ,Present      ,Absent     ,True     ,Normal   ,Present    ,True    ,2.43e-06
         22 ,Visit     ,Smoking   ,Present      ,Absent     ,True     ,Normal   ,Present    ,False   ,2.7e-07
         23 ,Visit     ,Smoking   ,Present      ,Absent     ,True     ,Normal   ,Absent     ,True    ,1.26e-06
         24 ,Visit     ,Smoking   ,Present      ,Absent     ,True     ,Normal   ,Absent     ,False   ,5.4e-07
         25 ,Visit     ,Smoking   ,Present      ,Absent     ,False    ,Abnormal ,Present    ,True    ,0.0
